"//  COLOR KEY:\n// GREEN is READY FOR TRANSLATION\n// YELLOW is IN PROGRESS, DON'T TRANSLATE\n// RED is UNUSED, DON'T TRANSLATE\n//PURPLE NEEDS UPDATE (pls change to blue after update)\n//BLUE is UPDATED TEXTS",,
"menu_startgame","Start Game","開始遊戲"
"item_trophy_bonemass_description","Bones and viscous goo, held together by some unseen force.\n\nOffer it to the Sacrificial Stones.","骨頭和黏糊糊的不明物，被一股無形的力量綁在一起。 \n\n向祭壇獻祭。"
"item_trophy_bonemass_lore","A mess of black soil and old bone, thankfully quiet now.","這團混沌的黑土廢骨沈默了。"
"item_trophy_dragonqueen","Moder trophy","冰霜龍母戰利品"
"item_trophy_dragonqueen_description","The head of a dragon, majestic even in the rigor of death.\n\nOffer it to the Sacrificial Stones.","身為眾龍之首，即使死了仍威嚴聳立。 \n\n向祭壇獻祭。"
"item_trophy_dragonqueen_lore","Scored with ancient scars, this head was the last sight of countless warriors.","在傷痕中看得出，這個臉是無數戰士眼中最後的影像。"
"item_trophy_goblinking","Yagluth trophy","亞格魯斯戰利品"
"item_trophy_goblinking_description","The crownless head of a dead king.","死王的未冕之首。"
"item_trophy_goblinking_lore","Sometimes, the eyes still move and the lips mutter silently...","有時候他的眼睛會動，有時候他會喃喃自語..."
"item_trophy_boar","Boar trophy","鬢猪戰利品"
"item_trophy_boar_description","This boar head would make for a nice decoration in any house.","這個鬢豬戰利品在任何房間裡都會是一個不錯的裝飾品。"
"item_trophy_boar_lore","This boar head would make for a nice decoration in any house.","這個鬢豬戰利品在任何房間裡都會是一個不錯的裝\n飾品。"
"item_trophy_neck","Neck trophy","蜥蜴精戰利品"
"item_trophy_neck_description","The beady eyes and razorsharp teeth belies the ostensibly calm nature of this small lizard.","泛著珠光的眼睛和鋒利的牙齒掩蓋了這種小蜥蜴表面上平静的特質。"
"item_trophy_neck_lore","The beady eyes and razorsharp teeth belies the ostensibly calm nature of this small lizard.","泛著珠光的眼睛和鋒利的牙齒掩蓋了這種小蜥蜴表面上平静的特質。"
"item_trophy_deer","Deer trophy","鹿戰利品"
"item_trophy_deer_description","A fine specimen but you'll need to kill more than deer to enter Valhalla.","不錯的標本，但如果你只殺鹿是不能進入英靈殿的。"
"item_trophy_deer_lore","A fine specimen but you'll need to kill more than deer to enter Valhalla.","不錯的標本，但如果你只殺鹿是不能進入英靈殿的。"
"item_trophy_greydwarf","Greydwarf trophy","灰矮人戰利品"
"item_trophy_greydwarf_description","The mossy, severed head of a Greydwarf.","長滿了苔蘚的灰矮人頭顱。"
"item_trophy_greydwarf_lore","The mossy, severed head of a Greydwarf.","長滿了苔蘚的灰矮人頭顱。"
"item_trophy_greydwarfbrute","Greydwarf Brute trophy","灰矮人暴徒戰利品"
"item_trophy_greydwarfbrute_description","It took seven blows to hack this gnarled head from its body.","足足了七下，才能砍下這顆扭曲的頭顱。"
"item_trophy_greydwarfbrute_lore","It took seven blows to hack this gnarled head from its body.","足足砍了七下，才能砍下這顆扭曲的頭顱。"
"item_trophy_greydwarfshaman","Greydwarf Shaman trophy","灰矮人薩滿戰利品"
"item_trophy_greydwarfshaman_description","It may try to come back so be sure to prune any new shoots...","它可能嘗試回來，注意修剪新枝……"
"item_trophy_greydwarfshaman_lore","It may try to come back so be sure to prune any new shoots...","它可能嘗試回來，注意修剪新枝……"
"item_trophy_foresttroll","Forest Troll trophy","森林巨魔戰利品"
"item_trophy_foresttroll_description","The leathery skin bears the faded tracery of ancient symbols.","皮革般的皮膚上隱約可現古老印記的痕跡。"
"item_trophy_foresttroll_lore","The leathery skin bears the faded tracery of ancient symbols.","皮革般的皮膚上隱約可現古老印記的痕跡。"
"item_trophy_frosttroll","Frost Troll trophy","冰霜巨魔戰利品"
"item_trophy_frosttroll_description","The eyes still glitter and swirl with silvery flecks. Don't look into them for too long...","眼睛上銀色的斑點仍在閃爍轉動。 不要盯著它太久……"
"item_trophy_frosttroll_lore","The eyes still glitter and swirl with silvery flecks. Don't look into them for too long...","眼睛上銀色的斑點仍在閃爍轉動。 不要盯著它太久……"
"item_trophy_troll","Troll trophy","巨魔戰利品"
"item_trophy_troll_description","The leathery skin bears the faded tracery of ancient symbols.","皮革般的皮膚上隱約可現古老印記的痕跡。"
"item_trophy_troll_lore","The leathery skin bears the faded tracery of ancient symbols.","皮革般的皮膚上隱約可現古老印記的痕跡。"
"item_trophy_skeleton","Skeleton trophy","枯骨戰利品"
"item_trophy_skeleton_description","The expressionless grin of this skull reminds you of the inevitability of death.","毫無表情的骷髏頭提醒著他朝君體也相同。"
"item_trophy_skeleton_lore","The expressionless grin of this skull reminds you of the inevitability of death.","毫無表情的骷髏頭提醒著他朝君體也相同。"
"item_trophy_skeletonpoison","Rancid remains trophy","腐臭遺骸戰利品"
"item_trophy_skeletonpoison_description","A rank and rotten skull. You're not sure why you kept it...","一顆頹喪腐爛的頭骨，你並不知道你為什麼還留著它..."
"item_trophy_skeletonpoison_lore","A rank and rotten skull. You're not sure why you kept it...","一顆頹喪腐爛的頭骨，你並不知道你為什麼還留著它..."
"item_trophy_wraith","Wraith trophy","鬼魅戰利品"
"item_trophy_wraith_description","The shed skin of a wraith, a flowing robe only visible by moonlight.","鬼魅掉下的皮，隱隱流動的斗篷，只有借助月光才能看見。"
"item_trophy_wraith_lore","The shed skin of a wraith, a flowing robe only visible by moonlight.","鬼魅掉下的皮，隱隱流動的斗篷，只有借助月光才能看見。"
"item_trophy_blob","Blob trophy","軟泥怪戰利品"
"item_trophy_blob_description","A smelly lump of sticky matter.","一大塊黏糊糊、散發著惡臭的東西。"
"item_trophy_blob_lore","A smelly lump of sticky matter.","一大塊黏糊糊、散發著惡臭的東西。"
"item_trophy_draugr","Draugr trophy","屍鬼戰利品"
"item_trophy_draugr_description","Bind up the mouth if it starts to whisper in the night...","它要是在晚上嘀嘀咕咕，就把它的嘴縫起來……"
"item_trophy_draugr_lore","Bind up the mouth if it starts to whisper in the night...","它要是在晚上嘀嘀咕咕，就把它的嘴縫起來……"
"item_trophy_draugrelite","Draugr Elite trophy","精英屍鬼戰利品"
"item_trophy_draugrelite_description","The dead stare of the glowing red eyes sends a shiver through your bones.","紅色的眼睛閃閃發光，死死地盯著你使你背脊發涼。"
"item_trophy_draugrelite_lore","The dead stare of the glowing red eyes sends a shiver through your bones.","紅色的眼睛閃閃發光，死死地盯著你使你背脊發涼。"
"item_trophy_leech","Leech trophy","水蛭戰利品"
"item_trophy_leech_description","Although slimy, the skin is beautifully patterned in red and black.","雖然有點黏糊糊的，不過它的皮膚上卻有黑紅相間的精美圖案。"
"item_trophy_leech_lore","Although slimy, the skin is beautifully patterned in red and black.","雖然有點黏糊糊的，不過它的皮膚上卻有黑紅相間的精美圖案。"
"item_trophy_wolf","Wolf trophy","狼戰利品"
"item_trophy_wolf_description","Frozen in death, the hair matted with blood and a silent howl lodged in its throat.","冰封在死亡之中，毛髮沾著血跡，喉嚨彷彿還在無聲地嚎叫。"
"item_trophy_wolf_lore","Frozen in death, the hair matted with blood and a silent howl lodged in its throat.","冰封在死亡之中，毛髮沾著血跡，喉嚨彷彿還在無聲地嚎叫。"
"item_trophy_hatchling","Drake trophy","霜龍戰利品"
"item_trophy_hatchling_description","Still cold to the touch.","摸上去依然冰冷。"
"item_trophy_hatchling_lore","Still cold to the touch.","摸上去依然冰冷。"
"item_trophy_sgolem","Stone Golem trophy","石高崙戰利品"
"item_trophy_sgolem_description","This crystalline rock formation would make for an impressive floor decoration.","這種結晶岩層可以成為令人驚嘆的地板裝飾。"
"item_trophy_sgolem_lore","This crystalline rock formation would make for an impressive floor decoration.","這種結晶岩層可以成為令人驚嘆的地板裝飾。"
"item_trophy_fenring","Fenring trophy","芬林戰利品"
"item_trophy_fenring_description","Half-way between wolf and man, its face frozen in a snarl of pain.","亦狼亦人，它的臉定格在了最扭曲痛苦的瞬間。"
"item_trophy_fenring_lore","Half-way between wolf and man, its face frozen in a snarl of pain.","亦狼亦人，它的臉定格在了最扭曲痛苦的瞬間。"
"item_trophy_goblin","Fuling trophy","符靈戰利品"
"item_trophy_goblin_description","Loose folds of greenish skin gathered in around a pair of dark and hateful eyes.","一雙黑暗而憤恨的眼睛，周圍堆積著鬆垮垮的綠色皮膚。"
"item_trophy_goblin_lore","Loose folds of greenish skin gathered in around a pair of dark and hateful eyes.","一雙黑暗而憤恨的眼睛，周圍堆積著鬆垮垮的綠色皮膚。"
"item_trophy_goblinbrute","Fuling berserker trophy","符靈狂戰士戰利品"
"item_trophy_goblinbrute_description","The huge grizzled head is as heavy as a boulder.","灰白的巨大頭顱就和一塊巨石一樣重。"
"item_trophy_goblinbrute_lore","The huge grizzled head is as heavy as a boulder.","灰白的巨大頭顱就和一塊巨石一樣重。"
"item_trophy_surtling","Surtling trophy","焰靈戰利品"
"item_trophy_surtling_description","Wreathed in pale flame, it still smolders like an ember.","暗淡的火焰，就像餘燄未盡的木炭。"
"item_trophy_surtling_lore","Wreathed in pale flame, it still smolders like an ember.","暗淡的火焰，就像餘燄未盡的木炭。"
"item_trophy_serpent","Serpent trophy","蛟龍戰利品"
"item_trophy_serpent_description","The scales have dulled but the eyes are still bright.","鱗片已有些許鈍，但眼睛卻依舊閃爍。"
"item_trophy_serpent_lore","The scales have dulled but the eyes are still bright.","鱗片已有些許鈍，但眼睛卻依舊閃爍。"
"item_trophy_lox","Lox trophy","平原氂牛戰利品"
"item_trophy_lox_description","A giant beast's head, thatched with thick fur.","一顆巨獸的頭顱，被厚厚的毛皮覆蓋著。"
"item_trophy_lox_lore","A giant beast's head, thatched with thick fur.","一顆巨獸的頭顱，被厚厚的毛皮覆蓋著。"
"item_trophy_deathsquito","Deathsquito trophy","殺人蜂戰利品"
"item_trophy_deathsquito_description","You don't like touching this thing even when it's dead.","就算它已經死了你也會害怕碰它。"
"item_trophy_deathsquito_lore","You don't like touching this thing even when it's dead.","就算它已經死了你也會害怕碰它。"
"item_trophy_goblinshaman","Fuling shaman trophy","醜地精薩滿戰利品"
"item_trophy_goblinshaman_description","Even killing it couldn't wipe the knowing smile from its crooked lips...","就算殺掉他也不能抹去他詭譎的微笑..."
"item_trophy_goblinshaman_lore","Even killing it couldn't wipe the knowing smile from its crooked lips...","就算殺掉他也不能抹去他詭譎的微笑..."
,,
,,
"item_club","Club","大棒棒"
"item_club_description","A crude but useful weapon.","粗糙但能幹。"
"item_stagbreaker","Stagbreaker","鹿角戰錘"
"item_stagbreaker_description","A weapon worthy of the gods! If you get hit with this, you'll know it...","配得上眾神的武器！被它打一下，你就知道厲害了……"
"item_arrow_fire","Fire arrow","燃燒箭"
"item_arrow_fire_description","This arrow burns whatever it pierces.","這種箭能點燃射中的一切。"
"item_arrow_flint","Flinthead arrow","燧石箭"
"item_arrow_flint_description","A hide-breaker with a head of flint.","箭頭為燧石，能刺破毛皮。"
"item_arrow_iron","Ironhead arrow","鐵頭箭"
"item_arrow_iron_description","Capped with iron and flighted with dark feathers.","箭頭包鐵，箭尾有黑色羽毛。"
"item_arrow_bronze","Bronzehead arrow","青銅箭"
"item_arrow_bronze_description","Sharper than flint, a sleek messenger of death.","比燧石箭更鋒利，造型優美的死神信差。"
"item_arrow_wood","Wood arrow","木箭"
"item_arrow_wood_description","An arrow of sharpened wood.","用削尖的木頭做的箭。"
"item_arrow_silver","Silver arrow","銀箭"
"item_arrow_silver_description","A needle to calm restless spirits.","平息躁動靈魂的尖針。"
"item_arrow_poison","Poison arrow","毒箭"
"item_arrow_poison_description","A bitter sting from afar.","遠處射來的苦痛之叮。"
"item_arrow_frost","Frost arrow","霜箭"
"item_arrow_frost_description","A shard of piercing ice.","一塊尖利的碎片。"
"item_arrow_needle","Needle arrow","蜂針箭"
"item_arrow_needle_description","The final stitch.","終極箭法。"
"item_arrow_obsidian","Obsidian arrow","黑曜石箭"
"item_arrow_obsidian_description","A sliver of darkness.","一線無盡的黑暗。"
"item_atgeir_bronze","Bronze atgeir","青銅戟"
"item_atgeir_bronze_description","A true warrior's tool.","真正的戰士武器。"
"item_atgeir_iron","Iron atgeir","鐵戟"
"item_atgeir_iron_description","Blood-drinker, skull-cracker, death-bringer.","飲血者，碎骨器，死亡使者。"
"item_axe_flint","Flint axe","燧石斧"
"item_axe_flint_description","Sharper than stone.","比石斧更鋒利。"
"item_axe_stone","Stone axe","石斧"
"item_axe_stone_description","A crude axe for tree-felling.","粗糙的伐木斧。"
"item_axe_iron","Iron axe","鐵斧"
"item_axe_iron_description","Sharp and strong, a woodcutter's friend.","鋒利而強大，伐木工的得力工具。"
"item_axe_bronze","Bronze axe","青銅斧"
"item_axe_bronze_description","A bright and burnished blade, curved like a smile.","閃亮光滑的斧刃，彎曲的形狀像是在微笑。"
"item_axe_blackmetal","Blackmetal axe","黑金屬斧"
"item_axe_blackmetal_description","A perfectly-balanced axe forged from dark metal with an emerald sheen.","一把完美的黑金屬斧，閃著翡翠般的光澤。"
"item_sword_blackmetal","Blackmetal sword","黑金屬劍"
"item_sword_blackmetal_description","A thing of death and beauty, it catches the light with a greenish glow.","死亡與美麗共同體，閃耀的綠光可以抓住光。"
"item_atgeir_blackmetal","Blackmetal atgeir","黑金屬戟"
"item_atgeir_blackmetal_description","A vicious hewing-axe of almost unbreakable black metal.","一把堅不可摧的詭邪斬斧。"
"item_knife_blackmetal","Blackmetal knife","黑金屬匕首"
"item_knife_blackmetal_description","A darkling blade, strong and sharp.","一把黑暗的刀，堅固而鋒利"
"item_bow","Crude bow","粗弓"
"item_bow_description","A crude but functional bow.","粗糙但能用的弓。"
"item_bow_finewood","Finewood bow","細木弓"
"item_bow_finewood_description","A simple bow of strong and supple wood.","簡易的弓，用結實柔韌的木頭製成。"
"item_bow_huntsman","Huntsman bow","獵弓"
"item_bow_huntsman_description","Finely worked and strung, a huntsman's joy.","精緻而強韌，獵人的最愛。"
"item_bow_draugrfang","Draugr fang","屍鬼之牙"
"item_bow_draugrfang_description","Dark wood strung with glistening sinew, a vicious thing.","黑暗強韌的木製帶閃光的肌腱，一個邪惡的物件。"
"item_knife_copper","Copper knife","銅匕首"
"item_knife_copper_description","A glittering copper knife.","閃閃發光的銅匕首。"
"item_knife_flint","Flint knife","燧石刀"
"item_knife_flint_description","Sharpened flint, a reliable tool.","鋒利的燧石，可靠的工具。"
"item_knife_chitin","Abyssal razor","深淵剃刀"
"item_knife_chitin_description","A knife from the deep.","一把來自深淵的匕首"
"item_pickaxe_iron","Iron pickaxe","鐵鎬"
"item_pickaxe_iron_description","A sturdy tool of hardened iron.","将鐵硬化之後製成的結實工具。"
"item_pickaxe_bronze","Bronze pickaxe","青銅鎬"
"item_pickaxe_bronze_description","A good bronze pick. Can break very hard rocks.","優良的青銅鎬。 可以破開十分堅硬的岩石。"
"item_pickaxe_stone","Stone pickaxe","石鎬"
"item_pickaxe_stone_description","A rock-breaker made of stone.","石頭製成的碎岩工具。"
"item_pickaxe_antler","Antler pickaxe","鹿角鎬"
"item_pickaxe_antler_description","This tool is hard enough to crack even the most stubborn rocks.","這把鎬可以鑿開世界上大部分的礦石"
"item_sword_bronze","Bronze sword","青銅劍"
"item_sword_bronze_description","Blood-drinker, a thirsty friend.","飲血者，嗜血利器。"
"item_sword_iron","Iron sword","鐵劍"
"item_sword_iron_description","The straight line between life and death runs along the edge of this blade.","劍刃劃過之處，生命不復存在。"
"item_sword_silver","Silver sword","銀劍"
"item_sword_silver_description","Purest of metals, nothing unclean can abide its touch.","最純淨的金屬，不潔之物都無法承受它的攻擊。"
"item_sword_fire","Dyrnwyn","火龍劍"
"item_sword_fire_description","Unsheathed, it sizzles and spits with deathless fire, an impossible blade.","出鞘之後，嗞嗞地吐出不滅之火，這是只應存在於傳說的劍。"
"item_spear_flint","Flint spear","燧石矛"
"item_spear_flint_description","If your eye marks a thing for death, let your arm send the messenger.","他必須死，放手去吧。"
"item_spear_wolffang","Fang spear","尖牙矛"
"item_spear_wolffang_description","Even in death, the wolf's tooth aches for flesh.","即使死了，狼的牙齒仍在渴望著血肉。"
"item_spear_chitin","Abyssal harpoon","深淵之槍"
"item_spear_chitin_description","The ocean's wrath.","海洋之怒。"
"item_spear_bronze","Bronze spear","青銅矛"
"item_spear_bronze_description","A sturdy spear with a head of burnished bronze.","帶著抛光過的青銅頭的堅固長矛。"
"item_spear_ancientbark","Ancient bark spear","古木矛"
"item_spear_ancientbark_description","Despite its gnarled look, this spear is strong and perfectly balanced.","儘管矛頭粗糙，但它卻堅固而完美。"
"item_torch","Torch","火把"
"item_torch_description","It brings light and warmth, drives back the darkness.","發出明亮溫暖的光芒，驅散了黑暗。"
"item_oozebomb","Ooze bomb","惡臭炸彈"
"item_oozebomb_description","The stench is unbearable...","惡臭令人無法忍受……"
"item_axe_rusty","Rusty iron axe UNUSED","鏽鐵斧 未使用"
"item_axe_rusty_description","UNUSED","未使用"
"item_battleaxe","Battleaxe","戰斧"
"item_battleaxe_description","Skull-splitter, a warrior's joy.","骷髏切割器，戰士的最愛。"
"item_mace_bronze","Bronze mace","青銅錘"
"item_mace_bronze_description","A headache on a stick.","令人頭痛的武器。"
"item_mace_iron","Iron mace","鐵錘"
"item_mace_iron_description","A fist-sized lump of iron on a wooden shaft.","一根木棒上鑲著一個拳頭大小的鐵塊。"
"item_mace_silver","Frostner","寒冰錘"
"item_mace_silver_description","The dead fear silver. Remind them why.","亡靈害怕銀。 提醒它們為什麼。"
"item_sledge_iron","Iron sledge","鐵大錘"
"item_sledge_iron_description","A mighty hammer, worthy of a champion.","一把當之無愧的無敵大錘。"
"item_mace_needle","Porcupine","狼牙棒"
"item_mace_needle_description","A deadly weapon, bristling with fiendish spikes.","帶著尖利的刺的致命武器。"
,,
,,
"item_hoe","Hoe","鋤頭"
"item_hoe_description","A farmer's tool for working the earth.","農夫整理土地的工具。"
"item_hammer","Hammer","工具錘"
"item_hammer_description","With this to your hand, you can raise high halls and mighty fortifications.","有它在手，可以建起高大的廳堂和強大的堡壘。"
"item_tankard","Tankard","大酒杯"
"item_tankard_description","Skål!","乾杯！"
"item_cultivator","Cultivator","耕地鈀"
"item_cultivator_description","A farming tool for tilling soil.","犁地用的農具。"
,,
,,
"item_shield_wood","Wood shield","木盾"
"item_shield_wood_description","A simple wooden shield.","簡單的木盾。"
"item_shield_woodtower","Wood tower shield","木塔盾"
"item_shield_woodtower_description","A rough but heavy wooden shield.","簡易且笨重的木製盾牌。"
"item_shield_banded","Banded shield","條紋鐵盾"
"item_shield_banded_description","Banded with hoops of iron, a true warrior's companion.","綁有鐵箍，真正勇士的護身伙伴。"
"item_shield_bronzebuckler","Bronze buckler","青銅盾"
"item_shield_bronzebuckler_description","A shield of burnished bronze, good to turn a blade or two.","光滑的青銅盾，彈開一兩刀不是在哈囉。"
"item_shield_knight","Knight shield UNUSED","騎士盾未用過"
"item_shield_knight_description","A wooden shield reinforced with iron. UNUSED","用鐵加固的木盾。 未用過"
"item_shield_serpentscale","Serpent scale shield","蛟龍鱗盾"
"item_shield_serpentscale_description","A sturdy shield of overlapping scales.","一塊由鱗片重疊而成的堅固的盾。"
"item_shield_silver","Silver shield","銀盾"
"item_shield_silver_description","A shield of radiant silver.","一塊銀光閃閃的盾。"
"item_shield_blackmetal","Black metal shield","黑金屬盾"
"item_shield_blackmetal_description","Fashioned from the strongest metal, able to turn even the deadliest blades.","由最堅固的金屬鍛造而成，可以格擋最致命的攻擊。"
"item_shield_blackmetal_tower","Black metal tower shield","黑金屬塔盾"
"item_shield_blackmetal_tower_description","A tower shield of gleaming dark metal.","一塊閃著黑金屬光澤的塔盾。"
"item_shield_iron_square","Iron shield","鐵盾"
"item_shield_iron_square_description","An iron sword-breaker, tile of the battle-wall.","鐵製的斷劍者，可作戰牆的瓦。"
"item_shield_iron_tower","Iron tower shield","鐵塔盾"
"item_shield_iron_tower_description","A tall shield of strong iron.","一塊由堅固的鐵製成的長盾。"
,,
,,
"item_helmet_leather","Leather helmet","皮頭盔"
"item_helmet_leather_description","A hood of toughened leather.","硬皮製成的頭套。"
"item_helmet_trollleather","Troll leather helmet","巨魔皮頭盔"
"item_helmet_trollleather_description","Trollskin is hard to work but makes exceptional armor.","雖然製作巨魔皮裝備並不簡單，但是成果會非常驚艷。"
"item_helmet_bronze","Bronze helmet","青銅頭盔"
"item_helmet_bronze_description","This will help to keep your brains inside your skull.","它能保住你的頭。"
"item_helmet_iron","Iron helmet","鐵頭盔"
"item_helmet_iron_description","A helm of polished iron, fit for a hero.","將鐵打磨後製成的頭盔，專為英雄而製。"
"item_helmet_yule","Yule hat","耶魯帽"
"item_helmet_yule_description","A red cap in the style of house gnomes.","小矮人風格的紅帽。"
"item_helmet_bronzehorned","Horned bronze helmet","帶角青銅頭盔"
"item_helmet_bronzehorned_description","Bronze helmet with attached horns for extra awesome.","用角裝飾的青銅頭盔。"
"item_helmet_dverger","Dverger circlet","矮人光環"
"item_helmet_dverger_description","A portable perpetual lightsource for the dungeon explorer.","地牢探索者用的便攜式不滅光源。"
"item_helmet_padded","Padded helmet","厚頭盔"
"item_helmet_padded_description","A snug fit, finely made.","量身訂造，精緻手工。"
,,
,,
"item_helmet_odin","Hood of Odin","奧丁的頭罩"
"item_helmet_odin_description","Odin's finest warriors deserve the finest cloth.","為配上奥丁最優秀的戰士的最出色服飾。"
"item_tankard_odin","Mead horn of Odin","奥丁的角杯"
"item_tankard_odin_description","Odin's finest warriors deserve the finest drinks.","為配上奥丁最優秀的戰士的最出色飲品。"
"item_cape_odin","Cape of Odin","奥丁的披風"
"item_cape_odin_description","Odin's finest warriors deserve the finest cloth.","為配上奥丁最優秀的戰士的最出色服飾。"
,,
,,
"item_blueberries","Blueberries","藍莓"
"item_blueberries_description","Tiny but tasty.","小巧好吃。"
"item_raspberries","Raspberries","覆盆子"
"item_raspberries_description","Sweet and delicious.","甜蜜美味。"
"item_cloudberries","Cloudberries","雲莓"
"item_cloudberries_description","The gold of the forest.","林中黄金。"
"item_queensjam","Queens jam","皇后果醬"
"item_queensjam_description","That classic tasty blend of raspberries and blueberries.","融合了覆盆子和藍莓的經典口味。"
"item_meat_raw","Raw meat","生肉"
"item_meat_raw_description","A raw piece of meat, cook it for a tasty treat.","一塊生肉，用來烹調出不同佳餚。"
"item_meat_cooked","Cooked meat","熟肉"
"item_meat_cooked_description","Roasted on the bone, fit for a feast.","連骨烤製，宴會絕品。"
"item_loxmeat","Lox meat","平原氂牛肉"
"item_loxmeat_description","A raw slab of marbled meat.","一塊帶雪花紋的生肉。"
"item_loxmeat_cooked","Cooked lox meat","熟平原氂牛肉"
"item_loxmeat_cooked_description","A great hunk of tender meat, food fit for Valhalla!","口感非常好的肉，在英靈殿非常盛行。"
"item_fish_raw","Raw fish","生魚肉"
"item_fish_raw_description","A good catch.","你做到了!"
"item_fish_cooked","Cooked fish","熟魚肉"
"item_fish_cooked_description","A tasty side of smoked fish.","可口的烤魚肉。"
"item_mushroomcommon","Mushroom","蘑菇"
"item_mushroomcommon_description","Bounty of the forest.","森林的賞賜。"
"item_mushroomblue","Blue mushroom","藍蘑菇"
"item_mushroomblue_description","Glows with a soft blue hue.","發出柔和的藍光。"
"item_mushroomyellow","Yellow mushroom","黃蘑菇"
"item_mushroomyellow_description","An energetic glowing mushroom.","充滿活力的發光蘑菇。"
"item_meadbasetasty","Mead base: Tasty","蜜酒基底：可口"
"item_meadbasehealth","Mead base: Minor healing","蜜酒基底：小型治療"
"item_meadbasehealth_medium","Mead base: Medium healing","蜜酒基底：中型治療"
"item_meadbasestamina","Mead base: Minor stamina","蜜酒基底：小型耐力"
"item_meadbasestamina_medium","Mead base: Medium stamina","蜜酒基底：中型耐力"
"item_meadbasepoisonresist","Mead base: Poison resistance","蜜酒基底：抗毒"
"item_meadbasefrostresist","Mead base: Frost resistance","蜜酒基底：抗霜"
"item_meadbase_description","Needs to be fermented.","需要發酵。"
"item_mead_hp_minor","Minor healing mead","小型治療蜜酒"
"item_mead_hp_minor_description","Restores health.","回復血量。"
"item_mead_hp_medium","Medium healing mead","中型治療蜜酒"
"item_mead_hp_medium_description","Restores health.","回復血量。"
"item_mead_stamina_minor","Minor stamina mead","小型耐力蜜酒"
"item_mead_stamina_minor_description","Restores stamina.","回復耐力。"
"item_mead_stamina_medium","Medium stamina mead","中型耐力蜜酒"
"item_mead_stamina_medium_description","Restores stamina.","回復耐力。"
"item_mead_tasty","Tasty mead","美味蜜酒"
"item_mead_tasty_description","The nectar of the gods, divine mead.","眾神之蜜，神之蜜酒。"
"item_barleywinebase","Barley wine base: Fire resistance","大麥酒基底：抗火"
"item_barleywine","Fire resistance barley wine","抗火大麥酒"
"item_barleywine_description","Fortifies you against fire.","讓你不懼烈焰。"
"item_turnipstew","Turnip stew","大頭菜肉湯"
"item_turnipstew_description","Nutritious and restorative.","營養滋補。"
"item_carrotsoup","Carrot soup","胡蘿蔔湯"
"item_carrotsoup_description","A warm tasty soup made of mostly carrots.","由胡蘿蔔做成的溫暖美味的湯。"
"item_serpentstew","Serpent stew","蛟龍肉羹"
"item_serpentstew_description","Smells of honey and serpent...","聞起來像蜜糖和蛟龍肉。"
"item_loxpie","Lox meat pie","平原氂牛肉派"
"item_loxpie_description","Break the crust to release a cloud of fragrant steam. Delicious!","弄開酥脆的外皮，陣陣肉香撲面而來。 超美味！"
"item_fishwraps","Fish wraps","魚肉卷"
"item_fishwraps_description","Bread and fish, what more to wish?","五餅二魚。"
"item_bloodpudding","Blood pudding","血豆腐"
"item_bloodpudding_description","It's bloody tasty.","這也太好吃了吧！"
"item_bread","Bread","麵包"
"item_bread_description","A tasty loaf of bread.","一塊美味的麵包。"
"item_necktail","Neck tail","蜥蜴精尾巴"
"item_necktail_description","Inedible when raw, but proves to be quite a tasty snack if cooked.","不能生食，但是烹調後是可口的小吃。"
"item_necktailgrilled","Grilled Neck tail","燒烤蜥蜴精尾肉"
"item_necktailgrilled_description","This savoury, charcoal-grilled meat has a slight aroma of seaweed and grass.","鹹鮮的碳烤肉帶著些許海帶和青草風味。"
"item_mead_poisonres","Poison resistance mead","抗毒蜜酒"
"item_mead_poisonres_description","Fortifies you against poison.","讓你不懼蠱毒。"
"item_mead_frostres","Frost resistance mead","抗霜蜜酒"
"item_mead_frostres_description","Protects against the cold.","讓你不懼嚴寒。"
,,
,,
"item_chest_leather","Leather tunic","皮胸甲"
"item_chest_leather_description","A tunic made from animal hide.","動物皮毛製成的胸甲。"
"item_legs_leather","Leather pants","皮褲"
"item_legs_leather_description","They squeak a little when you walk.","行走時會吱吱作響。"
"item_chest_rags","Rag tunic","布束腰衣"
"item_chest_rags_description","Better than nothing.","總好過什麼也不穿。"
"item_legs_rags","Rag pants","布褲"
"item_legs_rags_description","A simple remedy for nudity.","最簡單的防止裸奔方法。"
"item_chest_trollleather","Troll leather tunic","巨魔皮胸甲"
"item_chest_trollleather_description","Trolls are hard to skin but their leather is tough and warm.","巨魔的皮很難剝，但是它們的皮結實又保暖。"
"item_legs_trollleather","Troll leather pants","巨魔皮褲"
"item_legs_trollleather_description","Leggings of tough troll hide.","巨魔硬皮製成的褲子。"
"item_chest_bronze","Bronze plate cuirass","青銅板甲"
"item_chest_bronze_description","A breastplate of hammered bronze.","將青銅錘打後製成的胸甲。"
"item_legs_bronze","Bronze plate leggings","青銅板甲褲"
"item_legs_bronze_description","Bronze greaves to shield your legs.","保護雙腿的青銅腿甲。"
"item_chest_iron","Iron scale mail","鐵鱗甲"
"item_chest_iron_description","An iron scale mail, this will turn all but the strongest of blows.","鐵鱗甲，幾乎能擋下除最強一擊之外的攻擊。"
"item_legs_iron","Iron greaves","鐵板甲褲"
"item_legs_iron_description","Iron greaves to protect your legs.","保護雙腿的鐵腿甲。"
"item_chest_pcuirass","Padded cuirass","厚胸甲"
