Context,English,Chinese_Traditional,Chinese
"item_mead_frostres","Frost resistance mead","抗霜蜜酒","抗霜蜜酒"
"item_mead_frostres_description","Protects against the cold.","讓你不懼嚴寒。","让你不惧严寒。 "
"item_mead_hp_medium","Medium healing mead","中型治療蜜酒","中份治疗蜜酒蜜酒"
"item_mead_hp_medium_description","Restores health.","回復生命。","恢复健康。 "
"item_mead_hp_minor","Minor healing mead","小型治療蜜酒","小份治疗蜜酒"
"item_mead_hp_minor_description","Restores health.","回復生命。","恢复健康。 "
"item_mead_poisonres","Poison resistance mead","抗毒蜜酒","抗毒蜜酒"
"item_mead_poisonres_description","Fortifies you against poison.","讓你不懼蠱毒。","让你不惧蛊毒。 "
"item_mead_stamina_medium","Medium stamina mead","中型耐力蜜酒","中份耐力蜜酒"
"item_mead_stamina_medium_description","Restores stamina.","回復耐力。","恢复耐力。 "
"item_mead_stamina_minor","Minor stamina mead","小型耐力蜜酒","小份耐力蜜酒"
"item_mead_stamina_minor_description","Restores stamina.","回復耐力。","恢复耐力。 "
"item_mead_tasty","Tasty mead","美味蜜酒","美味蜜酒"
"item_mead_tasty_description","The nectar of the gods, divine mead.","眾神之蜜，神之蜜酒。","众神之蜜，神之蜜酒。 "
"item_meadbase_description","Needs to be fermented.","需要發酵。","需要发酵。 "
"item_meadbasefrostresist","Mead base: Frost resistance","蜜酒基底：抗霜","蜜酒主成分：抗霜"
"item_meadbasehealth","Mead base: Minor healing","蜜酒基底：小型治療","蜜酒主成分：小份治疗"
"item_meadbasehealth_medium","Mead base: Medium healing","蜜酒基底：中型治療","蜜酒主成分：中份治疗"
"item_meadbasepoisonresist","Mead base: Poison resistance","蜜酒基底：抗毒","蜜酒主成分：抗毒"
"item_meadbasestamina","Mead base: Minor stamina","蜜酒基底：小型耐力","蜜酒主成分：小份耐力"
"item_meadbasestamina_medium","Mead base: Medium stamina","蜜酒基底：中型耐力","蜜酒主成分：中份耐力"
"item_meadbasetasty","Mead base: Tasty","蜜酒基底：可口","蜜酒主成分：可口"
"item_meat_cooked","Cooked meat","熟肉","熟肉"
"item_meat_cooked_description","Roasted on the bone, fit for a feast.","連骨烤製，宴會佳餚。","连骨烤制，宴会佳品。 "
"item_meat_raw","Raw meat","生肉","生肉"
"item_meat_raw_description","A raw piece of meat, cook it for a tasty treat.","一塊生肉，用來烹調出不同佳餚。","一块生肉，可用此材料烹饪出不同美食。 "
"item_movement_modifier","Movement speed","移動速度","移动速度"
"item_mushroomblue","Blue mushroom","藍蘑菇","蓝蘑菇"
"item_mushroomblue_description","Glows with a soft blue hue.","發出柔和的藍光。","发出柔和的蓝光。 "
"item_mushroomcommon","Mushroom","蘑菇","蘑菇"
"item_mushroomcommon_description","Bounty of the forest.","森林的饋贈。","森林的馈赠。 "
"item_mushroomyellow","Yellow mushroom","黃蘑菇","黄蘑菇"
"item_mushroomyellow_description","An energetic glowing mushroom.","充滿活力的發光蘑菇。","充满活力的发光蘑菇。 "
"item_necktail","Neck tail","蜥蜴精尾巴","蜥蜴精尾巴"
"item_necktail_description","Inedible when raw, but proves to be quite a tasty snack if cooked.","無法生食，但是烹調以後是可口的小吃。","生的时候不能食用，但是烹饪以后是可口的小吃。 "
"item_necktailgrilled","Grilled Neck tail","燒烤蜥蜴精尾肉","烧烤蜥蜴精尾肉"
"item_necktailgrilled_description","This savoury, charcoal-grilled meat has a slight aroma of seaweed and grass.","鹹鮮的碳烤肉帶著些許海帶和青草風味。","咸鲜的碳烤肉带着些许海带和青菜口味。 "
"item_needle","Needle","刺針","鱼竿"
"item_needle_description","The pointy end of a Deathsquito.","殺人蜂的尾尖。","标准矮人钓鱼竿。 "
"item_noteleport","Can't be teleported","無法傳送","无法传送"
"item_obsidian","Obsidian","黑曜石","黑曜石"
"item_obsidian_description","Dark volcanic glass.","黑暗的火山岩。","黑暗的火山岩。 "
"item_onehanded","One-handed","單手","单手"
"item_ooze","Ooze","臭泥","软泥"
"item_ooze_description","Rotten and putrid-smelling. Why do you want this?","已腐爛，散發著惡臭。 為什麼你想要這個？","已腐烂，散发着恶臭。 你为什么想要这个？"
"item_oozebomb","Ooze bomb","惡臭炸彈","软泥炸弹"
"item_oozebomb_description","The stench is unbearable...","惡臭令人無法忍受……","恶臭令人无法忍受……"
"item_parrybonus","Parry bonus","招架獎勵","招架奖励"
"item_parts","parts","部件","部件"
"item_pickable_barley","Barley","大麥","大麦"
"item_pickable_bogiron","Bog iron","沼鐵礦","沼铁矿"
"item_pickable_branch","Branch","樹枝","树枝"
"item_pickable_meteorite","Meteorite","隕石","陨石"
"item_pickable_obsidian","Obsidian","黑曜石","黑曜石"
"item_pickable_skeletalremains","Skeletal remains","骷髏遺骸","骷髅遗骸"
"item_pickaxe_antler","Antler pickaxe","鹿角鎬","鹿角镐"
"item_pickaxe_antler_description","This tool is hard enough to crack even the most stubborn rocks.","這把鎬可以鑿開世界上大部分的礦石","这把镐可以开采世界上最坚固的矿石"
"item_pickaxe_bronze","Bronze pickaxe","青銅鎬","青铜镐"
"item_pickaxe_bronze_description","A good bronze pick. Can break very hard rocks.","優良的青銅鎬。 可以破開十分堅硬的岩石。","优良的青铜镐。 可以破开十分坚硬的岩石。 "
"item_pickaxe_iron","Iron pickaxe","鐵鎬","铁镐"
"item_pickaxe_iron_description","A sturdy tool of hardened iron.","將鐵硬化之後製成的結實工具。","将铁硬化之后制成的结实工具。 "
"item_pickaxe_stone","Stone pickaxe","石鎬","石镐"
"item_pickaxe_stone_description","A rock-breaker made of stone.","石頭製成的碎岩工具。","石头制成的碎岩工具。 "
"item_pinecone","Pine cone","松果","松果"
"item_pinecone_description","Plant it to grow a pine tree.","種下就能長成松樹。","种下就能长成松树。 "
"item_quality","Quality","品質","品质"
"item_queenbee","Queen bee","蜂后","蜂后"
"item_queenbee_description","The queen of the bees!","蜜蜂之后！","蜜蜂之后。 "
"item_queensjam","Queens jam","皇后果醬","皇后果酱"
"item_queensjam_description","That classic tasty blend of raspberries and blueberries.","融合了覆盆子和藍莓的經典口味。","融合了覆盆子和蓝莓的经典美味。 "
"item_raspberries","Raspberries","覆盆子","覆盆子"
"item_raspberries_description","Sweet and delicious.","甜蜜美味。","甜蜜美味。 "
"item_repairlevel","Repair station level","修復物品所需工作檯等級","修复物品所需工作台等级"
"item_resin","Resin","樹脂","树脂"
"item_resin_description","Sticky tree resin that insulates well. If put to the flame it burns slow and steady.","黏性樹脂阻隔能力高。 放進火裡則可以慢慢穩定地燃燒。","沾粘性很强的树脂。 放进火里可以缓慢且稳定的燃烧。 "
"item_roundlog","Core wood","圓木","圆木"
"item_roundlog_description","Perfect for building log cabins.","建造原木小屋最完美的材料。","建造小木屋最完美的材料。 "
"item_ruby","Ruby","紅寶石","红宝石"
"item_ruby_description","<color=yellow>Valuable</color>","<color=yellow>價值連城</color>","<color=yellow>价值连城</color>"
"item_sausages","Sausages","香腸","香肠"
"item_sausages_description","Links of savory, smoked meat.","一串鹹鮮的煙燻肉製品。","一串咸鲜的烟熏肉制品。 "
"item_serpentmeat","Serpent meat","蛟龍肉","蛟龙肉"
"item_serpentmeat_description","A slice of sea serpent, smells fishy.","一塊深海蛟龍肉，有一點魚腥味。","一块深海蛟龙肉，有一点鱼腥味。 "
"item_serpentmeatcooked","Cooked serpent meat","熟深海蛟龍肉","熟深海蛟龙肉"
"item_serpentmeatcooked_description","A cooked slice of sea serpent, smells good.","一塊烹飪過的深海蛟龍肉，聞起來很香。","一块烹饪过的深海蛟龙肉，闻起来很香。 "
"item_serpentscale","Serpent scale","蛟龍鱗","蛟龙鳞"
"item_serpentscale_description","The shiny metal-like scale from a sea serpent.","這閃閃發光的金屬狀鱗片來自於深海蛟龍。","这闪闪发光的金属状鳞片来自于深海蛟龙。 "
"item_serpentstew","Serpent stew","蛟龍肉羹","蛟龙肉羹"
"item_serpentstew_description","Smells of honey and serpent...","聞起來像蜜糖和蛟龍肉。","闻起来像蜜糖和蛟龙肉。 "
"item_seteffect","Set effect","設定效果","设置效果"
"item_sharpeningstone","Sharpening stone","磨刀石","磨刀石"
"item_sharpeningstone_description","A whetstone wheel ready to spin.","可以旋轉的磨刀石輪。","可以旋转的磨刀石轮。 "
"item_shield_banded","Banded shield","條紋鐵盾","条纹铁盾"
"item_shield_banded_description","Banded with hoops of iron, a true warrior's companion.","綁有鐵箍，真正勇士的護身伙伴。","绑有铁箍，真正勇士的护身伙伴。 "
"item_shield_blackmetal","Black metal shield","黑金屬盾","黑金属盾"
"item_shield_blackmetal_description","Fashioned from the strongest metal, able to turn even the deadliest blades.","由最堅固的金屬鍛造而成，可以格擋最致命的攻擊。","由最坚固的金属打造，可以格挡最致命的刀。 "
"item_shield_blackmetal_tower","Black metal tower shield","黑金屬塔盾","黑金属塔盾"
"item_shield_blackmetal_tower_description","A tower shield of gleaming dark metal.","一塊閃著黑金屬光澤的塔盾。","一块闪着黑金属光泽的塔盾。 "
"item_shield_bronzebuckler","Bronze buckler","青銅盾","青铜盾"
"item_shield_bronzebuckler_description","A shield of burnished bronze, good to turn a blade or two.","光滑的青銅盾，彈開一兩刀不在話下。","光滑的青铜盾，避开一两把刀不在话下。 "
"item_shield_iron_square","Iron shield","鐵盾","铁盾"
"item_shield_iron_square_description","An iron sword-breaker, tile of the battle-wall.","鐵製的斷劍者，可作戰牆的瓦。","铁制的断剑者，可作战墙的瓦。 "
"item_shield_iron_tower","Iron tower shield","鐵塔盾","铁塔盾"
"item_shield_iron_tower_description","A tall shield of strong iron.","一塊由堅固的鐵製成的長盾。","一块由坚固的铁制成的长盾。 "
"item_shield_knight","Knight shield UNUSED","騎士盾未用過","骑士盾未用过"
"item_shield_knight_description","A wooden shield reinforced with iron. UNUSED","用鐵加固的木盾。 未用過","用铁加固的木盾。 未用过"
"item_shield_serpentscale","Serpent scale shield","蛟龍鱗盾","蛟龙鳞盾"
"item_shield_serpentscale_description","A sturdy shield of overlapping scales.","一塊由鱗片重疊而成的堅固的盾。","一块由鳞片重叠而成的坚固的盾。 "
"item_shield_silver","Silver shield","銀盾","银盾"
"item_shield_silver_description","A shield of radiant silver.","一塊銀光閃閃的盾。","一块银光闪闪的盾。 "
"item_shield_wood","Wood shield","木盾","木盾"
"item_shield_wood_description","A simple wooden shield.","簡單的木盾。","简单的木盾。 "
"item_shield_woodtower","Wood tower shield","木塔盾","木塔盾"
"item_shield_woodtower_description","A rough but heavy wooden shield.","簡易且笨重的木製盾牌。","简易且笨重的木制盾牌。 "
"item_silver","Silver","銀","银"
"item_silver_description","A bar of pure silver ready to be worked.","一塊純銀可用於加工。","一条可供制作的纯银。 "
"item_silvernecklace","Silver Necklace","銀項鍊","银项链"
"item_silvernecklace_description","<color=yellow>Valuable</color>","<color=yellow>價值連城</color>","<color=yellow>价值连城</color>"
"item_silverore","Silver ore","銀礦","银矿"
"item_silverore_description","Unrefined silver. Needs to be refined in a smelter.","未精煉的銀。 需要放入熔爐中精煉。","未精炼的银。 需要放入炼炉中精炼。 "
"item_sledge_iron","Iron sledge","鐵大錘","铁大锤"
"item_sledge_iron_description","A mighty hammer, worthy of a champion.","一把當之無愧的無敵大錘。","一把当之无愧的无敌大锤。 "
"item_spear_ancientbark","Ancient bark spear","古木矛","古木矛"
"item_spear_ancientbark_description","Despite its gnarled look, this spear is strong and perfectly balanced.","儘管矛頭粗糙，但它卻堅固而完美。","尽管矛头粗糙，但它却坚固而完美。 "
"item_spear_bronze","Bronze spear","青銅矛","青铜矛"
"item_spear_bronze_description","A sturdy spear with a head of burnished bronze.","帶著抛光過的青銅頭的堅固長矛。","带着抛光过的青铜头的坚固长矛。 "
"item_spear_chitin","Abyssal harpoon","深淵之槍","深渊之枪"
"item_spear_chitin_description","The ocean's wrath.","海洋之怒。","海洋之怒。 "
"item_spear_flint","Flint spear","燧石矛","燧石矛"
"item_spear_flint_description","If your eye marks a thing for death, let your arm send the messenger.","揮動你的臂膀送出死亡訊息。","当你的眼睛露出杀意，请抬手给出死亡一击。 "
"item_spear_wolffang","Fang spear","尖牙矛","尖牙矛"
"item_spear_wolffang_description","Even in death, the wolf's tooth aches for flesh.","即使死了，狼的牙齒仍在渴望著血肉。","即使死了，狼的牙齿仍在渴望着血肉。 "
"item_stagbreaker","Stagbreaker","鹿角戰錘","鹿角战锤"
"item_stagbreaker_description","A weapon worthy of the gods! If you get hit with this, you'll know it...","配得上眾神的武器！被它打一下就會知道它的厲害了……","配得上众神的武器！被它打一下，你就知道厉害了……"
"item_stone","Stone","石頭","石头"
"item_stone_description","It's a rock.","一塊石頭。","一块石头。 "
"item_surtlingcore","Surtling core","焰靈之核","焰灵之核"
"item_surtlingcore_description","It throbs with inner heat.","火焰在内部湧動。","火焰在内部涌动。 "
"item_sword_blackmetal","Blackmetal sword","黑金屬劍","黑金属剑"
"item_sword_blackmetal_description","A thing of death and beauty, it catches the light with a greenish glow.","死亡與美麗共同體，閃耀的綠光可以抓住光。","死亡与美丽共同体，闪耀的绿光可以抓住光。 "
"item_sword_bronze","Bronze sword","青銅劍","青铜剑"
"item_sword_bronze_description","Blood-drinker, a thirsty friend.","飲血者，嗜血利器。","饮血者，嗜血利器。 "
"item_sword_fire","Dyrnwyn","火龍劍","火龙剑"
"item_sword_fire_description","Unsheathed, it sizzles and spits with deathless fire, an impossible blade.","出鞘之後，嗞嗞地吐出不滅之火，這是只應存在於傳說的劍。","出鞘之后，嗞嗞地吐出不灭之火，只存在于传说之中。 "
"item_sword_iron","Iron sword","鐵劍","铁剑"
"item_sword_iron_description","The straight line between life and death runs along the edge of this blade.","劍刃劃過之處，生命不復存在。","剑刃划过，生命不再，死亡来临。 "
"item_sword_silver","Silver sword","銀劍","银剑"
"item_sword_silver_description","Purest of metals, nothing unclean can abide its touch.","最純淨的金屬，不潔之物都無法承受它的攻擊。","最纯净的金属，不洁之物都无法承受它的功击。 "
"item_tankard","Tankard","大酒杯","大酒杯"
"item_tankard_description","Skål!","乾杯！","干杯！"
"item_tankard_odin","Mead horn of Odin","奥丁的角杯","奥丁的角杯"
"item_tankard_odin_description","Odin's finest warriors deserve the finest drinks.","為配上奥丁最優秀的戰士的最出色飲品。","奥丁最棒的战士值得最好的饮品。 "
"item_thistle","Thistle","薊草","蓟草"
"item_thistle_description","Beautiful but prickly.","美麗但有刺。","美丽但有刺。 "
"item_tin","Tin","錫錠","锡"
"item_tin_description","A bar of pure tin ready to be worked.","一塊純錫可用於加工。","一条可供制作的纯锡。 "
"item_tinore","Tin ore","錫礦","锡矿"
"item_tinore_description","Unrefined tin. Needs to be refined in a smelter.","未精煉的錫。 需要放入熔爐中精煉。","未精炼的锡。 需要放入炼炉中精炼。 "
"item_torch","Torch","火把","火把"
"item_torch_description","It brings light and warmth, drives back the darkness.","發出明亮溫暖的光芒，驅散了黑暗。","发出明亮温暖的光芒，驱散了黑暗。 "
"item_total","Total","總計","总计"
"item_trollhide","Troll hide","巨魔皮","巨魔皮"
"item_trollhide_description","A thick and sturdy hide. This is why trolls are so hard to kill.","厚重結實的皮。 這是巨魔很難被殺死的原因。","厚重结实的皮。 这是巨魔很难被杀死的原因。 "
"item_trophy_blob","Blob trophy","軟泥怪戰利品","软泥怪战利品"
"item_trophy_blob_description","A smelly lump of sticky matter.","一大塊黏糊糊、散發著惡臭的東西。","一大块黏乎乎、散发着恶臭的东西。 "
"item_trophy_blob_lore","A smelly lump of sticky matter.","一大塊黏糊糊、散發著惡臭的東西。","一大块黏乎乎、散发着恶臭的东西。 "
"item_trophy_boar","Boar trophy","鬢猪戰利品","鬓猪战利品"
"item_trophy_boar_description","This boar head would make for a nice decoration in any house.","這個鬢豬戰利品在任何房間裡都會是一個不錯的裝飾品。","这个鬓猪战利品在任何房间里都会是一个不错的装饰品。 "
"item_trophy_boar_lore","This boar head would make for a nice decoration in any house.","這個鬢豬戰利品在任何房間裡都會是一個不錯的裝飾品。","这个鬓猪战利品在任何房间里都会是一个不错的装\n饰品。 "
"item_trophy_bonemass","Bonemass trophy","邪骨惡靈戰利品","邪骨恶灵战利品"
"item_trophy_bonemass_description","Bones and viscous goo, held together by some unseen force.\n\nOffer it to the Sacrificial Stones.","骨頭和黏糊糊的不明物，被一股無形的力量綁在一起。 \n\n到獻祭石獻祭。","骨头和黏糊糊的不明物，被一股无形的力量绑在了一起。 \n\n向祭坛献祭。 "
"item_trophy_bonemass_lore","A mess of black soil and old bone, thankfully quiet now.","這團混沌的黑土廢骨沈默了。","由黑土和古老骨头随意组成，谢天谢地，现在已经安歇。 "
"item_trophy_deathsquito","Deathsquito trophy","殺人蜂戰利品","杀人蜂战利品"
"item_trophy_deathsquito_description","You don't like touching this thing even when it's dead.","就算它已經死了你也會害怕碰它。","就算它已经死了你也会害怕碰它。 "
"item_trophy_deathsquito_lore","You don't like touching this thing even when it's dead.","就算它已經死了你也會害怕碰它。","就算它已经死了你也会害怕碰它。 "
"item_trophy_deer","Deer trophy","鹿戰利品","鹿战利品"
"item_trophy_deer_description","A fine specimen but you'll need to kill more than deer to enter Valhalla.","一個不錯的標本，但如果想進入英靈殿只有殺鹿是不夠的。","优良的物种，但你如果只杀鹿是不能进入瓦尔哈拉的。 "
"item_trophy_deer_lore","A fine specimen but you'll need to kill more than deer to enter Valhalla.","一個不錯的標本，但如果想進入英靈殿只有殺鹿是不夠的。","优良的物种，但你如果只杀鹿是不能进入瓦尔哈拉的。 "
"item_trophy_dragonqueen","Moder trophy","冰霜龍母戰利品","冰霜龙母战利品"
"item_trophy_dragonqueen_description","The head of a dragon, majestic even in the rigor of death.\n\nOffer it to the Sacrificial Stones.","身為眾龍之首，即使死了仍威嚴聳立。 \n\n到獻祭石獻祭。","一条龙的头，即使它已经死去，但还是威严耸立。 \n\n向祭坛献祭。 "
"item_trophy_dragonqueen_lore","Scored with ancient scars, this head was the last sight of countless warriors.","在傷痕中看得出，這個臉是無數戰士眼中最後的影像。","数不尽的古老伤疤，诉说着千千万万个战士的故事。 "
"item_trophy_draugr","Draugr trophy","屍鬼戰利品","尸鬼战利品"
"item_trophy_draugr_description","Bind up the mouth if it starts to whisper in the night...","它要是在晚上嘀嘀咕咕，就把它的嘴縫起來……","它要是在晚上嘀嘀咕咕，就把它的嘴缝起来……"
"item_trophy_draugr_lore","Bind up the mouth if it starts to whisper in the night...","它要是在晚上嘀嘀咕咕，就把它的嘴縫起來……","它要是在晚上嘀嘀咕咕，就把它的嘴缝起来……"
"item_trophy_draugrelite","Draugr Elite trophy","精英屍鬼戰利品","精英尸鬼战利品"
"item_trophy_draugrelite_description","The dead stare of the glowing red eyes sends a shiver through your bones.","紅色的眼睛閃閃發光，死死地盯著你使你背脊發涼。","红色的眼睛闪闪发光，死死地盯着你使你背脊发凉。 "
"item_trophy_draugrelite_lore","The dead stare of the glowing red eyes sends a shiver through your bones.","紅色的眼睛閃閃發光，死死地盯著你使你背脊發涼。","红色的眼睛闪闪发光，死死地盯着你使你背脊发凉。 "
"item_trophy_eikthyr","Eikthyr trophy","赤血靈鹿戰利品","赤血灵鹿战利品"
"item_trophy_eikthyr_description","This severed head oozes power.\n\nOffer it to the Sacrificial Stones.","你似乎能感到這頭顱裡無形的力量。 \n\n到獻祭石獻祭。","你似乎能感到这头颅里无形的力量。 \n\n向祭坛献祭。 "
"item_trophy_eikthyr_lore","Once the king of the forest, the size of the antlers are truly impressive.","前森林之王的角，它的尺寸確實讓人驚嘆不而。","作为曾经的森林之王，它角的尺寸着实让人惊叹。 "
"item_trophy_elder","The Elder trophy","古樹長老戰利品","古树长老战利品"
"item_trophy_elder_description","This severed head oozes power.\n\nOffer it to the Sacrificial Stones.","這乾癟的頭顱上的死去的皮感覺非常沉重。 \n\n\n到獻祭石獻祭。","这干瘪的头颅上的死去的皮感觉非常沉重。 \n\n\n向祭坛献祭。 "
"item_trophy_elder_lore","Even in death, it seems to grin with secret knowledge.","即使已經死去，但看起來像在嘲笑著我們的無知。","虽然它已经死亡，但好像在咧着嘴笑，倾吐着各种奥秘。 "
"item_trophy_fenring","Fenring trophy","芬林戰利品","芬里战利品"
"item_trophy_fenring_description","Half-way between wolf and man, its face frozen in a snarl of pain.","亦狼亦人，它的臉定格在了最扭曲痛苦的瞬間。","亦狼亦人，它的脸定格在了最扭曲痛苦的瞬间。 "
"item_trophy_fenring_lore","Half-way between wolf and man, its face frozen in a snarl of pain.","亦狼亦人，它的臉定格在了最扭曲痛苦的瞬間。","亦狼亦人，它的脸定格在了最扭曲痛苦的瞬间。 "
"item_trophy_foresttroll","Forest Troll trophy","森林巨魔戰利品","森林巨魔战利品"
"item_trophy_foresttroll_description","The leathery skin bears the faded tracery of ancient symbols.","粗糙的皮膚上帶有褪色的古老符號花紋。","皮革般的皮肤上隐约可现古老印记的痕迹。 "
"item_trophy_foresttroll_lore","The leathery skin bears the faded tracery of ancient symbols.","粗糙的皮膚上帶有褪色的古老符號花紋。","皮革般的皮肤上隐约可现古老印记的痕迹。 "
"item_trophy_frosttroll","Frost Troll trophy","冰霜巨魔戰利品","冰霜巨魔战利品"
"item_trophy_frosttroll_description","The eyes still glitter and swirl with silvery flecks. Don't look into them for too long...","眼睛上銀色的斑點仍在閃爍轉動。 不要盯著它太久……","眼睛上银色的斑点仍在闪烁转动。 不要盯着它太久……"
"item_trophy_frosttroll_lore","The eyes still glitter and swirl with silvery flecks. Don't look into them for too long...","眼睛上銀色的斑點仍在閃爍轉動。 不要盯著它太久……","眼睛上银色的斑点仍在闪烁转动。 不要盯着它太久……"
"item_trophy_goblin","Fuling trophy","哥布林戰利品","丑地精战利品"
"item_trophy_goblin_description","Loose folds of greenish skin gathered in around a pair of dark and hateful eyes.","一雙黑暗而憤恨的眼睛，周圍堆積著鬆垮垮的綠色皮膚。","一双黑暗而愤恨的眼睛，周围堆积着松垮垮的绿色皮肤。 "
"item_trophy_goblin_lore","Loose folds of greenish skin gathered in around a pair of dark and hateful eyes.","一雙黑暗而憤恨的眼睛，周圍堆積著鬆垮垮的綠色皮膚。","一双黑暗而愤恨的眼睛，周围堆积着松垮垮的绿色皮肤。 "
"item_trophy_goblinbrute","Fuling berserker trophy","哥布林狂戰士戰利品","丑地精狂战士战利品"
"item_trophy_goblinbrute_description","The huge grizzled head is as heavy as a boulder.","灰白的巨大頭顱就和一塊巨石一樣重。","巨大斑驳的头颅和一块巨石一样重。 "
"item_trophy_goblinbrute_lore","The huge grizzled head is as heavy as a boulder.","灰白的巨大頭顱就和一塊巨石一樣重。","巨大斑驳的头颅和一块巨石一样重。 "
"item_trophy_goblinking","Yagluth trophy","亞格魯斯戰利品","亚格鲁斯战利品"
"item_trophy_goblinking_description","The crownless head of a dead king.","死者之王的無冕之首。","死王的未冕之首。 "
"item_trophy_goblinking_lore","Sometimes, the eyes still move and the lips mutter silently...","有時候他的眼睛會動，有時候他會喃喃自語...","有时候他的眼睛会动，有时候他会喃喃自语..."
"item_trophy_goblinshaman","Fuling shaman trophy","哥布林薩滿戰利品","丑地精萨满战利品"
"item_trophy_goblinshaman_description","Even killing it couldn't wipe the knowing smile from its crooked lips...","即使殺掉他也不能抹去他詭譎的微笑...","就算杀掉他也不能抹去他诡谲的微笑..."
"item_trophy_goblinshaman_lore","Even killing it couldn't wipe the knowing smile from its crooked lips...","即使殺掉他也不能抹去他詭譎的微笑...","就算杀掉他也不能抹去他诡谲的微笑..."
"item_trophy_greydwarf","Greydwarf trophy","灰矮人戰利品","灰矮人战利品"
"item_trophy_greydwarf_description","The mossy, severed head of a Greydwarf.","從灰矮人身上砍下來的頭顱，長滿了苔蘚。","灰矮人被砍掉的头颅，长满了苔藓。 "
"item_trophy_greydwarf_lore","The mossy, severed head of a Greydwarf.","從灰矮人身上砍下來的頭顱，長滿了苔蘚。","灰矮人被砍掉的头颅，长满了苔藓。 "
"item_trophy_greydwarfbrute","Greydwarf Brute trophy","灰矮人暴徒戰利品","灰矮人暴徒战利品"
"item_trophy_greydwarfbrute_description","It took seven blows to hack this gnarled head from its body.","足足砍了七下，才從身體上砍下這顆扭曲的頭顱。","足足砍了七下，才从身体上砍下这颗扭曲的头颅。 "
"item_trophy_greydwarfbrute_lore","It took seven blows to hack this gnarled head from its body.","足足砍了七下，才從身體上砍下這顆扭曲的頭顱。","足足砍了七下，才从身体上砍下这颗扭曲的头颅。 "
"item_trophy_greydwarfshaman","Greydwarf Shaman trophy","灰矮人薩滿戰利品","灰矮人萨满战利品"
"item_trophy_greydwarfshaman_description","It may try to come back so be sure to prune any new shoots...","它也許會回歸，確保修剪任何新生的枝芽…","它可能会回来，注意修剪新枝……"
"item_trophy_greydwarfshaman_lore","It may try to come back so be sure to prune any new shoots...","它也許會回歸，確保修剪任何新生的枝芽…","它可能会回来，注意修剪新枝……"
"item_trophy_hatchling","Drake trophy","霜龍戰利品","霜龙战利品"
"item_trophy_hatchling_description","Still cold to the touch.","摸上去依然冰冷。","摸上去依然冰冷。 "
"item_trophy_hatchling_lore","Still cold to the touch.","摸上去依然冰冷。","摸上去依然冰冷。 "
"item_trophy_leech","Leech trophy","水蛭戰利品","蚂蟥战利品"
"item_trophy_leech_description","Although slimy, the skin is beautifully patterned in red and black.","雖然有點黏糊糊的，不過它的皮膚上卻有黑紅相間的精美圖案。","虽然有点黏糊糊的，不过它的皮肤上却有黑红相间的精美图案。 "
"item_trophy_leech_lore","Although slimy, the skin is beautifully patterned in red and black.","雖然有點黏糊糊的，不過它的皮膚上卻有黑紅相間的精美圖案。","虽然有点黏糊糊的，不过它的皮肤上却有黑红相间的精美图案。 "
"item_trophy_lox","Lox trophy","平原氂牛戰利品","平原牦牛战利品"
"item_trophy_lox_description","A giant beast's head, thatched with thick fur.","一顆巨獸的頭顱，被厚厚的毛皮覆蓋著。","一颗巨兽的头颅，被厚厚的毛皮覆盖着。 "
"item_trophy_lox_lore","A giant beast's head, thatched with thick fur.","一顆巨獸的頭顱，被厚厚的毛皮覆蓋著。","一颗巨兽的头颅，被厚厚的毛皮覆盖着。 "
"item_trophy_neck","Neck trophy","蜥蜴精戰利品","蜥蜴精战利品"
"item_trophy_neck_description","The beady eyes and razorsharp teeth belies the ostensibly calm nature of this small lizard.","泛著珠光的眼睛和鋒利的牙齒掩蓋了這種小蜥蜴表面上平静的特質。","泛着珠光的眼睛和锋利的牙齿掩盖了这种小蜥蜴表面上平静的特质。 "
"item_trophy_neck_lore","The beady eyes and razorsharp teeth belies the ostensibly calm nature of this small lizard.","泛著珠光的眼睛和鋒利的牙齒掩蓋了這種小蜥蜴表面上平静的特質。","泛着珠光的眼睛和锋利的牙齿掩盖了这种小蜥蜴表面上平静的特质。 "
"item_trophy_serpent","Serpent trophy","蛟龍戰利品","蛟龙战利品"
"item_trophy_serpent_description","The scales have dulled but the eyes are still bright.","鱗片已經失去光澤，但眼睛卻依舊閃爍。","鳞片已有些许钝，但眼睛却依旧闪烁。 "
"item_trophy_serpent_lore","The scales have dulled but the eyes are still bright.","鱗片已經失去光澤，但眼睛卻依舊閃爍。","鳞片已有些许钝，但眼睛却依旧闪烁。 "
"item_trophy_sgolem","Stone Golem trophy","石高崙戰利品","石魔哥伦战利品"
"item_trophy_sgolem_description","This crystalline rock formation would make for an impressive floor decoration.","這種結晶岩層可以成為令人驚嘆的地板裝飾。","这种结晶岩层可以成为令人惊叹的地板装饰。 "
"item_trophy_sgolem_lore","This crystalline rock formation would make for an impressive floor decoration.","這種結晶岩層可以成為令人驚嘆的地板裝飾。","这种结晶岩层可以成为令人惊叹的地板装饰。 "
"item_trophy_skeleton","Skeleton trophy","枯骨戰利品","枯骨战利品"
"item_trophy_skeleton_description","The expressionless grin of this skull reminds you of the inevitability of death.","毫無表情的骷髏頭提醒著你死亡的必然性。","毫无表情的骷髅头提醒着你死亡的必然性。 "
